DATOS HORARIOS 2015_ CRUZ ROJA,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
AGO,1,0,20.51,90.18,0.83,12.68,62.94,4.35,79.84,20.52
AGO,1,1,28.1,159.62,1.38,13.82,57.82,4.38,65.39,20.13
AGO,1,2,19.38,76.13,1.02,14.34,51.81,4.08,50.47,19.06
AGO,1,3,20.05,78.96,1.22,11.64,62.58,3.13,62.93,19.1
AGO,1,4,19.16,51.4,0.78,12.8,59.97,2.4,52.84,17.7
AGO,1,5,20.1,22.52,0.72,12.82,51.64,2.89,46.37,17.05
AGO,1,6,14.94,27.78,0.88,14.39,39.72,2.5,98.72,16.07
AGO,1,7,8.25,20.31,1.14,14.07,50.44,2.09,149.25,15.06
AGO,1,8,18.08,29.39,1.07,13.45,67.46,2.14,113.5,16.36
AGO,1,9,38.23,62.78,1.21,18.41,83.94,1.57,80.55,19.72
AGO,1,10,31.86,57.13,0.94,15.13,87.3,3.31,99.22,20.75
AGO,1,11,37.52,34.4,0.83,14.87,71.8,3.56,94.22,22.17
AGO,1,12,48.42,23.84,0.83,14.14,60.78,2.94,117.12,23.35
AGO,1,13,58.48,23.99,0.9,13.19,56.31,2.72,124.67,24.46
AGO,1,14,65.48,22.6,1,13.64,59.49,2.1,264.75,25.06
AGO,1,15,61.43,25.45,1.03,14.45,62.02,2.36,142.7,26.24
AGO,1,16,60.42,17.88,0.93,17.33,57.98,2.3,163.03,27.13
AGO,1,17,56.49,12.75,0.83,15.37,42.55,2.44,83.48,27.64
AGO,1,18,49.66,11.97,0.83,16.27,34.28,2.49,335.25,27.83
AGO,1,19,43.94,11.21,1.01,18.02,30.23,2.1,302.03,27.19
AGO,1,20,26.8,11.57,1.29,20.18,36.04,2.1,304,25.78
AGO,1,21,23.6,11.34,1.09,16.66,49.3,2.8,285.03,23.72
AGO,1,22,23.97,38.97,1.17,15.22,51.44,3.33,73.79,21.55
AGO,1,23,32.89,15.26,0.86,13.37,53.69,4.46,48.34,20.6
AGO,2,0,32.81,14.76,0.83,13.24,45.94,3.92,47.6,19.72
AGO,2,1,26.34,61.26,1.14,16.65,47.19,3.49,59.18,19.67
AGO,2,2,23.74,52.34,1.07,14.83,60.71,4.04,53.42,18.84
AGO,2,3,30.46,15.62,0.77,13.85,54.54,3.43,46.94,18.18
AGO,2,4,30.72,13.12,0.75,13.04,38.96,3.29,48.57,17.9
AGO,2,5,24.8,12.91,0.77,14.61,39.65,1.79,87.11,17.26
AGO,2,6,21.81,12.87,0.81,14.19,36.12,2.14,105.72,16.76
AGO,2,7,10.31,16.44,0.9,16.58,44.18,2.68,115.38,15.8
AGO,2,8,20.09,57.14,0.82,16.17,66.48,3.32,86.3,17.56
AGO,2,9,28.89,55.09,0.84,17.97,82.48,3.13,77.25,19.57
AGO,2,10,33.9,33.55,0.86,15.61,73.61,3.6,96.85,20.94
AGO,2,11,40.9,23.99,0.81,15.91,57.31,3,98.04,22.48
AGO,2,12,46.33,36.09,0.95,15.97,57.13,2.51,111.7,23.88
AGO,2,13,56.75,45.35,1.45,12.37,60.37,2.01,131.77,25.61
AGO,2,14,50.81,32.41,1,14.28,63.55,2.38,121.32,26.79
AGO,2,15,57.58,25.83,1.03,13.73,51.09,3.07,339.78,27.77
AGO,2,16,47.29,12.75,0.85,15.06,43.82,4.29,308.3,26.81
AGO,2,17,48.48,11.49,0.85,14.58,32.82,3.12,301.59,27.79
AGO,2,18,47.05,10.73,0.86,13.75,32.03,2.7,296.57,27.99
AGO,2,19,48.01,10.66,0.9,12.46,34.71,3.82,282.79,26.33
AGO,2,20,42.11,15.82,1.02,14.18,37.04,4.39,129.37,21.22
AGO,2,21,37.73,11.83,1.11,14.45,33.17,3.72,164.66,19.13
AGO,2,22,35.08,11.11,1.06,17.06,25.12,2.33,130.64,17.56
AGO,2,23,31.64,10.8,1.09,12.54,23.58,1.7,244.85,17.68
AGO,3,0,31.05,12.23,0.97,12.82,20.39,2.1,11.64,17.35
AGO,3,1,23.22,13.66,0.93,13.18,25.5,2.58,110.77,17.3
AGO,3,2,20.72,19.88,0.88,13.98,27.98,2.56,92.83,17.45
AGO,3,3,19.24,14.54,0.87,10.5,27.96,1.92,237.53,16.73
AGO,3,4,17.06,11.79,0.83,14.09,27.57,2.26,243,15.88
AGO,3,5,11.9,11.04,0.85,16.2,32,1.66,305.2,15.63
AGO,3,6,10.69,11.15,0.99,17.89,36.72,1.39,30.46,15.74
AGO,3,7,10.04,13.12,1.54,18.14,40.36,1.2,214.35,16.27
AGO,3,8,11.3,12.59,1.94,17.3,48.59,1.81,126.88,16.89
AGO,3,9,17.87,12.19,1.29,15.91,63.66,2.42,126.49,16.51
AGO,3,10,23.97,12.88,1.25,16.02,71.31,2.4,135.44,18.36
AGO,3,11,46.35,23.58,1.33,17.83,118.66,1.59,176.85,20.8
AGO,3,12,51.83,32.86,1.42,24.36,153.24,1.98,208.45,22.85
AGO,3,13,71.1,38.87,1.39,24.87,137.68,1.84,200.94,24.21
AGO,3,14,105.42,33.53,1.33,18.92,119.51,1.94,293.72,25.33
AGO,3,15,114.93,27.32,1.12,18.55,114.44,1.98,279.03,26.41
AGO,3,16,108.74,23.14,1.14,16.7,94.42,2.61,291.49,27.19
AGO,3,17,80.92,14.48,0.98,16.29,70.56,2.19,298.51,27.61
AGO,3,18,75.31,12.49,1.1,14.27,48.27,2.31,303.82,27.34
AGO,3,19,75.02,11.46,1.22,14.31,45.91,2.2,289.68,26.9
AGO,3,20,42.94,11.15,1.53,20.41,56.21,2.39,252.98,25.51
AGO,3,21,30.79,11.19,1.44,23.01,60.24,2.73,241.48,24.15
AGO,3,22,31.82,17.59,1.12,17.44,54.37,3.04,141.52,21.84
AGO,3,23,42.21,12.84,0.95,12.67,46.59,4.21,152.06,18.08
AGO,4,0,43.28,10.67,0.9,12.29,32.8,3.11,239.18,17.55
AGO,4,1,43.22,10.42,0.86,13.03,15.67,1.77,300.18,17.51
AGO,4,2,30.48,10.22,0.89,14.74,18.32,2.22,302.47,17.16
AGO,4,3,30.53,10.02,0.86,15.73,22.37,1.62,300.54,16.99
AGO,4,4,29.75,9.86,0.83,13.62,23.32,1.39,120.89,17.03
AGO,4,5,24.77,11.36,0.93,14.48,25.7,1.14,139.48,17.35
AGO,4,6,11.09,10.83,1.22,16.93,32.24,1.81,205.54,16.47
AGO,4,7,10.81,10.55,1.51,16.82,41.81,1.26,242.19,16.03
AGO,4,8,14.75,11.17,1.56,17.54,46.81,1.48,131.87,17.52
AGO,4,9,21.72,15.3,1.21,15.64,56.95,2.29,125.16,18.91
AGO,4,10,30.02,27.11,1.1,16.76,63.45,2.88,106.59,20.79
AGO,4,11,39.93,23.69,0.99,15.8,68.86,3.82,103.95,22.22
AGO,4,12,45.37,23.75,0.92,13.95,58.46,3.92,101.48,23.77
AGO,4,13,47.06,20.84,0.95,12.05,52.84,3.25,105.34,25
AGO,4,14,49.14,18.73,0.9,12.28,49.09,3.21,109.56,26.09
AGO,4,15,52.1,16.76,0.88,13.37,39.72,3.23,107.84,27.13
AGO,4,16,48.95,13.25,0.82,13.6,32.28,2.96,78.25,28.78
AGO,4,17,52.96,10.48,0.76,11.87,39.92,3.1,16.92,29.37
AGO,4,18,57.25,11.15,0.98,12.11,30.6,2.61,262.84,29.32
AGO,4,19,57.28,12.07,1.22,18.79,39.21,3.36,242.31,27.58
AGO,4,20,45.08,12.36,1.32,16.12,55.63,2.84,280.02,23.88
AGO,4,21,35.28,11.09,1.22,16.8,44.23,2.93,163.99,22.86
AGO,4,22,29.38,11.57,1.1,17.27,41.17,1.95,162.62,21.41
AGO,4,23,22.92,17.07,0.98,17.09,45.4,2.75,96,20.91
AGO,5,0,23.84,17.29,0.91,17.5,48.76,1.69,96.89,20.35
