DATOS HORARIOS 2015_ CRUZ ROJA,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP
DIC,1,0,11.86,23.8,1.26,17.89,104.34,2.44,114.85,18.22
DIC,1,1,14.65,22.57,1.13,17.61,88.33,2.32,114.48,17.84
DIC,1,2,7.69,22.75,1.31,12.97,74.08,2.63,111.35,17.07
DIC,1,3,7.73,21.96,1.29,17.58,100.31,2.4,115.48,15.87
DIC,1,4,7.66,21.47,1.15,15.31,101.03,2.27,115.69,15.33
DIC,1,5,7.73,22.28,1.07,15.12,82.3,1.84,113.81,15.14
DIC,1,6,7.64,22.99,1.1,17.2,66.5,1.86,104.57,14.81
DIC,1,7,7.86,26.1,1.35,16.46,66.37,1.99,102.69,14.24
DIC,1,8,8.08,26.08,1.65,15.75,71.36,2.24,104.17,14.14
DIC,1,9,11.06,34.96,1.44,12.71,89.42,2.65,100.94,15.79
DIC,1,10,14.63,26.83,1.28,15.89,87.14,2.27,119.83,17.35
DIC,1,11,30.79,23.47,1.28,16.07,82.35,1.61,182.84,20.08
DIC,1,12,40.09,22.93,1.32,20.03,80.43,1.87,224.19,22.57
DIC,1,13,49.37,21.98,1.35,20.63,82.11,3.06,243.39,23.73
DIC,1,14,56.23,20.63,1.21,21,73.84,2.68,247.78,24.66
DIC,1,15,53.21,20.22,1.35,20.16,63.46,2.52,241,25.98
DIC,1,16,53.26,19.75,1.38,21.46,62.15,2.38,249.14,26.64
DIC,1,17,53.41,19,1.28,19.1,64.39,2.75,267.4,26.1
DIC,1,18,42.28,18.1,1.45,22.55,69.78,2.46,276.92,25.42
DIC,1,19,13.62,18.53,2.53,24.97,87.14,2.25,263.5,24.41
DIC,1,20,10.44,19.28,2.61,27.19,124.35,2.39,263.16,23.43
DIC,1,21,13.5,18.98,1.75,21.62,137.18,1.67,281.44,21.51
DIC,1,22,11.51,19.4,2.41,23.14,116.14,1.33,238.61,20.75
DIC,1,23,14.49,18.26,1.88,20.91,104.17,1.44,269.81,19.94
DIC,2,0,8.05,18.66,2.64,23.45,96.95,1.07,229.14,19.38
DIC,2,1,8.41,18.58,1.79,23.5,102.1,1.08,186.98,18.27
DIC,2,2,8.12,20.24,1.48,20.92,113.87,1.01,30.02,17.08
DIC,2,3,7.8,20.73,1.34,19.97,120.59,1.06,294.12,16.62
DIC,2,4,7.69,19,1.14,16.28,93.31,1.03,300.41,15.2
DIC,2,5,8.58,18.64,1.15,17.66,83.57,1.11,310.45,15.29
DIC,2,6,9.13,18.68,1.25,17.83,75.68,1.14,177.09,14.99
DIC,2,7,7.44,18.65,1.65,18.23,80.31,0.96,17.53,14.39
DIC,2,8,7.91,19.88,2.63,17.15,110.9,1.2,72.94,14.31
DIC,2,9,11.02,23.46,1.86,18.85,139.99,1.11,101.39,16.66
DIC,2,10,16.68,24.14,2.07,25.98,145.19,1.56,236.46,18.91
DIC,2,11,35.62,21.87,1.33,23.55,129.2,2,249.9,20.62
DIC,2,12,47.54,20.57,1.26,21.8,85.49,2.28,239.16,22.16
DIC,2,13,51.51,19.5,1.19,18.95,77.67,2.62,239.91,23.61
DIC,2,14,54.35,18.71,1.19,19.9,77.52,2.17,266.66,23.91
DIC,2,15,57.52,17.97,1.06,20.14,64.42,1.92,268.09,24.88
DIC,2,16,51.93,17.42,1.18,18.91,58.47,1.78,279.82,25.03
DIC,2,17,54.54,16.7,1.12,19.26,60.78,1.76,287.75,25.54
DIC,2,18,43.79,16.54,1.49,20.91,65.62,1.53,254.13,25.12
DIC,2,19,9.55,17.94,2.88,23.22,81.67,1.38,295.04,24.07
DIC,2,20,15.29,25.55,1.85,21.03,127.45,2.43,43.99,22.77
DIC,2,21,25.89,43.89,1.07,16.49,139.15,4.73,88.5,20.98
DIC,2,22,23.37,37.42,1.03,14.68,78.36,4.76,63.56,18.83
DIC,2,23,21.48,62.83,1.01,12.78,57.21,4.58,78.45,17.78
DIC,3,0,21.65,57.15,0.99,11.95,40.86,4.68,72.95,17.41
DIC,3,1,22.4,41.02,0.97,11.1,35.45,4.57,70.65,16.76
DIC,3,2,20.8,38.67,0.94,13.33,28.57,4.84,72.31,16.44
DIC,3,3,17.86,55.02,0.9,11.71,38.66,4.26,63.26,15.83
DIC,3,4,20.87,44.35,0.85,11.31,37.59,3.99,61.47,15.53
DIC,3,5,22.6,38.95,0.84,13.64,29.44,4.04,68.91,15.23
DIC,3,6,22.39,36.98,0.83,12.08,28.05,4.03,63.56,14.72
DIC,3,7,20.26,44.65,0.85,14.59,26.43,4.36,75.03,14.42
DIC,3,8,22.34,41.73,0.89,13.02,31.24,4.92,67.69,14.01
DIC,3,9,20.02,47.29,0.87,15.17,39.67,4.35,73.39,13.92
DIC,3,10,23.9,43.26,0.82,13.45,45.49,5.25,74.14,14.19
DIC,3,11,24.78,52.78,0.87,13.72,39.86,5.62,NA,14.09
DIC,3,12,27.12,43.22,0.92,13.2,43.81,5.35,83.63,15.75
DIC,3,13,32.93,37.97,0.88,15.02,48.62,4.92,73.59,17.08
DIC,3,14,37.22,34.29,0.98,15.13,51.97,4.48,74.47,17.9
DIC,3,15,39.3,43.15,0.95,16.28,56.08,4.39,62.89,19.33
DIC,3,16,42.5,22.79,0.97,17.02,74.58,3.85,68.1,19.75
DIC,3,17,37.65,19.81,0.95,17.42,60.02,4.23,49.45,18.47
DIC,3,18,31.21,19.23,0.94,17.39,53.48,4.01,49.39,16.92
DIC,3,19,32.03,23.28,0.88,15.1,57.57,5.05,48.69,15.49
DIC,3,20,31.48,22.27,0.83,14.55,51.71,4.5,46.66,14.74
DIC,3,21,24.6,39.71,0.8,15.02,51.99,4.42,72.32,14.67
DIC,3,22,28.04,33.84,0.83,15.04,46.38,3.86,74.79,13.7
DIC,3,23,25.13,34.93,0.83,14.18,37.41,3.2,71.93,12.93
DIC,4,0,20.66,43.14,0.8,15.38,39.62,3.58,77.51,12.63
DIC,4,1,24.09,42.91,0.76,15.44,51.7,4.43,75.07,12.33
DIC,4,2,28.13,45.28,0.74,13.74,38.87,4.22,74.3,12.24
DIC,4,3,23.48,46.92,0.72,14.79,42.09,3.5,79.51,11.7
DIC,4,4,22.6,55.63,0.7,15.72,33.26,3.3,76.04,11.54
DIC,4,5,25.83,48.89,0.69,15.67,34.3,2.36,97.55,11.24
DIC,4,6,22.49,53.85,0.68,14.57,37.95,3.65,84.91,10.68
DIC,4,7,18.9,51.15,0.69,17.34,29.71,3.87,80.77,10.65
DIC,4,8,18.9,51.69,0.85,18,28.98,3.27,82.55,11.19
DIC,4,9,17.68,58.77,0.95,19.04,38.47,2.87,89.62,11.87
DIC,4,10,25,51.21,0.94,18.46,56.82,3.65,92.66,13.05
DIC,4,11,34.04,45.79,0.8,15.24,49.42,4.58,86.07,14.99
DIC,4,12,36.97,43.38,0.77,14.88,45.54,4.63,91.55,15.99
DIC,4,13,38.43,55.79,0.83,14.92,46.92,3.72,101.26,17.77
DIC,4,14,40.41,55.46,0.86,16.47,50.57,2.78,108.44,19.91
DIC,4,15,39.09,47.11,0.86,17.44,46.43,2.3,105.97,21.7
DIC,4,16,40.96,40.74,0.92,17.85,43.02,2.17,108.55,22.64
DIC,4,17,37.45,42.19,0.92,18.47,43.86,1.89,104.89,22.96
DIC,4,18,25.74,37.94,1.24,20.91,47.28,1.77,144.65,22.2
DIC,4,19,15.76,23.25,1.7,23.74,59.95,2,359.48,20.77
DIC,4,20,29.86,21.37,1.2,20.58,77.43,3.33,50.82,19.07
DIC,4,21,26.22,56.16,0.89,15.72,64.73,4.76,72,17.79
DIC,4,22,23.55,44.67,0.85,15.49,59.65,4.86,80.84,16.77
DIC,4,23,27.8,57.01,0.84,16.27,44.05,4.64,61.74,15.99
DIC,5,0,26.1,70.91,0.82,16.67,51.14,5.03,62.97,15.26
DIC,5,1,26.77,60.77,0.8,16.26,52.7,4.06,51.2,14.22
DIC,5,2,25.68,60.48,0.78,16.15,47.92,3.38,65.41,13.54
DIC,5,3,24.4,48.4,0.77,15.53,37.52,3.42,82.28,13.21
DIC,5,4,18.55,60.79,0.74,15.95,30.23,3.74,86.56,12.53
DIC,5,5,25.28,59,0.73,15.79,27.05,3,83.82,11.88
DIC,5,6,17.97,52.16,0.72,15.11,26.35,3.14,81.61,11.53
DIC,5,7,14.8,57.84,0.74,16.99,27.84,2.9,89.73,10.19
DIC,5,8,17.97,59.62,0.75,17.36,34.58,3.4,81.91,10.37
DIC,5,9,20.35,69.56,0.85,18.07,46.19,3.39,80.42,12.24
DIC,5,10,26.84,57.64,0.84,17.38,53.48,4.04,90.73,14.64
DIC,5,11,32.36,54.29,0.81,15.53,51.25,4.61,92.95,16.28
DIC,5,12,35.79,55.01,0.81,15.45,50.37,4.22,92.03,18.19
DIC,5,13,39.18,52.1,0.88,15.42,48.76,3.92,100.23,20.28
DIC,5,14,42.39,48.16,0.85,15.36,49.48,4.14,91.81,21.73
DIC,5,15,43.65,46.65,0.9,16.08,50.55,3.88,71.87,23.17
DIC,5,16,47.32,30.22,0.88,16.79,46.7,3.25,67.66,23.88
DIC,5,17,47.06,24.18,0.89,16.65,41.73,3.45,60.73,23.72
DIC,5,18,45.79,20.93,0.91,15.87,38.83,3.51,57.07,22.79
DIC,5,19,36.12,22.04,0.97,15.25,43.88,3.26,47.86,21.13
DIC,5,20,29.47,34.06,0.87,17.56,53.93,4.23,62.44,19.41
DIC,5,21,28.67,34.8,0.87,15.09,49.68,4.91,72.83,17.54
DIC,5,22,21.87,63.78,0.99,14.29,48.12,4.64,71.67,16.27
DIC,5,23,26.23,56.23,0.98,13.49,62.67,4.95,74.16,15.03
DIC,6,0,22.31,48.73,0.96,15.58,60.46,4.56,80.78,13.51
DIC,6,1,17.33,60.72,0.8,17.27,35.51,4.64,84.79,12.72
DIC,6,2,25.08,44.61,0.82,16.44,35.58,4.24,78.58,12.26
DIC,6,3,31.68,32.32,0.76,14.52,32.48,4.18,77.79,11.56
DIC,6,4,33.21,42.44,0.73,10.92,22.02,5.43,73.14,11.11
DIC,6,5,25.95,85.64,1.3,13.35,37.06,5.36,59.54,11.24
DIC,6,6,25.11,76.59,0.7,14.8,66.66,4.46,57.34,11.16
DIC,6,7,31.69,45.01,0.88,13.23,66.89,4.7,71.33,11
DIC,6,8,24.7,47.37,0.67,13.63,52.46,4.65,80.38,11.01
DIC,6,9,30.52,41.88,0.66,12.46,24.54,5.45,76.89,11.73
DIC,6,10,32.59,45.31,0.68,12.83,27.98,5.39,76.42,13.07
DIC,6,11,33.02,50.49,0.72,12.18,30.91,5.21,88.95,14.37
DIC,6,12,38.54,36.8,0.74,12,35.67,4.81,80.5,16.19
DIC,6,13,41.2,33.51,0.81,13.49,36.29,3.31,76.46,18.34
DIC,6,14,44.66,28.71,0.81,13.33,31.71,3.04,73.34,20.25
DIC,6,15,46.99,28.56,0.81,14.49,30.74,3.5,69.68,22.05
DIC,6,16,47.79,27.06,0.82,13.42,32.6,3.75,63.38,23.18
DIC,6,17,46.29,25.91,0.81,13.54,33.51,3.7,58.41,23.63
DIC,6,18,40.47,18.85,0.82,13.3,43.08,4.87,62.28,21.14
DIC,6,19,34.51,18.18,0.87,13.11,51.64,4.8,55.06,18.07
DIC,6,20,34.06,21.92,0.76,12.92,49.88,5.18,51.51,15.72
DIC,6,21,32.84,29.33,0.77,14.5,39.54,4.76,51.56,14.23
DIC,6,22,34.25,24.24,0.78,14.04,34.62,4.78,47.93,13.27
DIC,6,23,34.36,19.78,0.76,13.71,32.37,4.26,46.6,12.7
DIC,7,0,33.97,18.57,0.74,13.79,24.52,3.7,47.82,12.59
DIC,7,1,35.27,17.96,0.7,12.96,16.04,4,49.68,12.45
DIC,7,2,36.79,17.88,0.66,12.3,14.5,3.68,49.51,12.39
DIC,7,3,33.02,40.16,0.65,13.62,13.5,3.91,46.71,12.46
DIC,7,4,32.18,48.63,0.63,14.76,24.79,4.14,52.81,12.4
DIC,7,5,34.01,31.76,0.61,13.74,38.58,3.33,48.78,12.09
DIC,7,6,15.6,157.2,0.74,18.44,53.94,3.36,49.28,12.25
DIC,7,7,19.39,110.25,0.71,19.44,121.23,3.03,47.43,11.77
DIC,7,8,14.85,31,1.22,19.59,102.15,1.89,76.29,11.36
DIC,7,9,20.66,92.32,0.93,19.78,67.54,2.72,55.99,13.37
DIC,7,10,34,43.06,0.77,17.67,70.49,4.36,69.2,14.92
DIC,7,11,36.37,46.85,0.89,18.57,61.09,3.53,77.56,16.4
DIC,7,12,42.14,40.67,0.83,17.82,53.46,3.21,82.68,18.07
DIC,7,13,45.88,43.31,0.9,18.65,54.76,3.14,100.06,19.51
DIC,7,14,49.03,43.99,0.95,19.78,59.51,3.03,114.17,20.43
DIC,7,15,49.72,40.71,0.96,17.39,66.67,2.54,121.68,21.17
DIC,7,16,48.41,42.73,1.08,18.92,67.22,2.43,137.91,21.88
DIC,7,17,45.27,50.31,1.1,20.89,69.38,1.74,108.75,22.19
DIC,7,18,34.6,38.4,1.43,24.99,68.91,1.31,305.52,21.77
DIC,7,19,21.82,25.02,1.63,26.4,71.27,1.67,26.8,20.39
DIC,7,20,30.47,21.55,1.02,21.51,63.29,2.73,48.42,18.47
DIC,7,21,35.36,20.73,0.89,19.61,53.33,3.61,49.11,17.36
DIC,7,22,25.53,26.63,0.96,18.55,45.33,3.05,69.39,16.04
DIC,7,23,17.16,31.69,0.99,19.42,44.35,2,81.4,15.19
DIC,8,0,29.89,23.66,0.84,17.18,48.75,2.73,70.49,14.66
DIC,8,1,20.6,26.16,0.87,16.96,36.29,1.94,110.58,13.52
DIC,8,2,25.22,29.72,0.81,15.38,36.21,2.61,102.85,12.88
DIC,8,3,24.06,38.41,0.77,12.59,29.22,3.38,98.04,12.13
DIC,8,4,14.24,54.58,0.74,15.82,33.28,3.17,88.25,11.78
DIC,8,5,14.03,64.27,0.73,15.61,46.92,2.89,91.91,11.63
DIC,8,6,13.45,61.13,0.73,16.91,45.38,2.93,86.29,11.32
DIC,8,7,11.59,58,0.76,17.4,43.28,3,80.75,11.24
DIC,8,8,10.99,46.54,1,17.5,42.28,3.06,93.81,11.04
DIC,8,9,14.75,51.66,0.99,16.33,51.52,3.38,95.74,11.72
DIC,8,10,19.19,58.34,0.92,16.09,67.35,3.84,93.63,13.26
DIC,8,11,21.27,82.84,1.03,17.03,75.83,3.01,102.35,15.23
DIC,8,12,27.36,52.63,1.04,19.37,79.98,2.39,134.55,16.84
DIC,8,13,39.43,40.58,1.07,23.5,83.25,1.51,148.88,19.59
DIC,8,14,44.31,35.51,1.27,25.92,88.71,1.68,276.36,20.75
DIC,8,15,48.02,24.86,1.21,25.15,95.24,2.11,250.03,21.81
DIC,8,16,45.75,23.22,1.18,24.49,79.29,2.33,265.27,22.69
DIC,8,17,39.61,21.98,1.17,23.93,64.92,2.33,251.83,22.81
DIC,8,18,27.76,21.73,1.37,25.88,62.97,1.97,269.01,21.94
DIC,8,19,9.52,22.51,2.38,29.04,93.63,1.64,271.26,21.06
DIC,8,20,7.82,23.98,3.38,27.99,134.11,1.43,170.27,20.29
DIC,8,21,7.98,23.98,2.76,27,151.5,1.77,180.55,19.26
DIC,8,22,8.93,22.11,1.88,26.13,158.71,1.81,253.24,18.04
DIC,8,23,9.47,21.77,1.6,23.74,126.97,1.37,306.65,17.11
DIC,9,0,7.75,21.66,1.71,22.88,108.5,1.11,106.75,16.36
DIC,9,1,7.85,22.13,1.92,21.96,105.97,1.09,69.45,15.69
DIC,9,2,8.97,22.04,1.63,21.49,105.91,1.2,107.61,15.27
DIC,9,3,8.41,22.89,1.2,19.14,99.93,1.7,112.66,13.95
DIC,9,4,8.88,23.85,1.08,19.68,97.28,1.5,120.39,13.62
DIC,9,5,14.19,24.24,1.09,20.63,88.01,1.5,114.74,12.96
DIC,9,6,10.41,23.55,1.15,21.05,93.85,1.73,127.07,12.57
DIC,9,7,9.37,23.41,1.38,22.04,100.45,1.67,103.37,12.74
DIC,9,8,8.38,23.79,1.63,20.75,112.2,1.77,106,12.63
DIC,9,9,9.79,26.04,1.59,20.57,113.07,2.48,108.35,13.26
DIC,9,10,14.18,35.18,1.47,22.22,133.67,2.7,106.91,15.2
DIC,9,11,16.27,29.34,1.43,23.23,144.63,2.22,124.73,16.14
DIC,9,12,20.57,26.31,1.59,25.73,135.28,2.32,128.83,17.05
DIC,9,13,24.49,24.79,1.27,25,147.75,1.61,114.04,17.83
DIC,9,14,31.24,28.72,1.22,23.67,125.78,1.4,119.93,19.15
DIC,9,15,32.68,39.16,1.2,24.5,121.45,1.46,86.5,19.69
DIC,9,16,25.11,44.14,1.45,26.03,127.2,1.36,145.03,20.02
DIC,9,17,25.52,26.32,1.5,26.03,126.71,1.68,132.18,19.86
DIC,9,18,25.76,26.5,1.36,25.76,123.85,1.47,121.19,19.5
DIC,9,19,8.56,32.56,2.4,25.24,120.64,1.04,77.94,18.86
DIC,9,20,8.19,29.2,2.94,27.59,139.71,1.05,301.87,17.92
DIC,9,21,7.67,26.13,3.4,26.54,167.15,0.94,256.07,17.18
DIC,9,22,7.82,23.89,2.59,24.59,173.49,1.08,290.63,16.09
DIC,9,23,7.91,24.92,2.62,23.28,159.78,1.51,118.12,15.67
DIC,10,0,10.57,31.09,1.23,21.33,143.44,1.57,92.13,15.36
DIC,10,1,8.13,26.16,1.55,21.09,86.32,1.17,327.41,13.52
DIC,10,2,8,23.63,1.33,20.72,87.77,1.16,171.92,13.05
DIC,10,3,8,23.1,1.23,19.89,87.02,1.13,267.39,11.66
DIC,10,4,8.13,22.45,1.05,19.56,81.49,1.59,146.82,12.19
DIC,10,5,7.76,22.41,1.02,20.42,82.07,1.68,115.64,12.09
DIC,10,6,7.9,26.63,1.15,19.41,87.02,1.15,314.9,11
DIC,10,7,7.88,24.62,1.47,18.14,81.81,1.27,103.77,10.46
DIC,10,8,7.79,24.65,2.18,19.19,90.2,1.22,19.09,10.29
DIC,10,9,9.13,29.36,1.88,20.31,101.43,1.29,77.17,12.08
DIC,10,10,14.58,67.31,1.29,22.02,122.63,2.26,102.97,15.12
DIC,10,11,22.96,80.25,1.08,24.1,128.2,2.58,127.42,17.75
DIC,10,12,35.06,43.99,0.95,23.31,114.27,2.83,130.33,20.25
DIC,10,13,41.38,56.25,0.86,21.96,83.92,2.38,123.4,22.53
DIC,10,14,47.45,34.35,0.97,21.25,69.87,2.08,184.6,23.75
DIC,10,15,52.68,23.67,1.04,22.21,71.87,2.09,260.56,24.71
DIC,10,16,52.05,21.96,0.88,22.33,69.43,2.45,277.68,24.62
DIC,10,17,44.17,21.08,0.99,22.17,56.9,2.48,276.91,24.73
DIC,10,18,41.33,21.5,1.21,23.24,65.35,2.11,301.92,23.54
DIC,10,19,16.61,21.52,1.78,29.56,94.34,1.69,320.88,21.79
DIC,10,20,11.62,22.04,1.68,27.7,139.68,1.73,55.9,20.26
DIC,10,21,12.09,22.84,1.68,25.77,131.41,1.65,36.56,19.62
