predicted_class,error_type
A,FN
B,FP
C,FP
B,FP
B,FP
C,FP
C,FP
C,FP
A,FP
A,FN
A,FN
A,FP
C,FN
A,FP
B,FN
A,FN
B,FN
B,FP
C,FP
C,FP
C,FN
C,FN
C,FP
B,FN
A,FN
C,FP
C,FP
A,FP
A,FP
A,FN
A,FP
A,FP
C,FN
A,FP
C,FP
A,FP
A,FP
A,FP
A,FN
C,FP
B,FN
A,FP
C,FP
B,FN
A,FP
B,FP
A,FN
A,FP
C,FP
B,FN
B,FP
B,FN
B,FP
B,FN
C,FP
B,FN
B,FP
C,FP
A,FP
A,FN
A,FN
A,FP
C,FP
A,FP
A,FP
C,FP
B,FP
B,FN
A,FN
A,FN
C,FP
C,FP
C,FP
B,FP
A,FN
C,FP
C,FP
B,FN
A,FP
C,FP
A,FP
A,FP
B,FP
B,FN
B,FN
C,FP
C,FP
A,FP
A,FP
C,FP
A,FP
B,FP
A,FN
C,FP
C,FN
B,FP
B,FN
C,FP
C,FP
A,FN
C,FP
A,FP
C,FP
A,FN
A,FP
A,FN
A,FN
B,FN
B,FP
A,FP
B,FN
A,FP
A,FP
C,FP
A,FP
C,FP
B,FN
B,FN
C,FN
C,FP
B,FN
B,FP
C,FP
B,FN
A,FN
B,FP
C,FP
A,FN
A,FN
A,FN
B,FN
A,FN
A,FP
A,FN
B,FN
A,FP
C,FN
B,FN
A,FN
A,FP
C,FN
C,FP
C,FP
A,FP
B,FN
A,FP
B,FP
B,FP
A,FP
A,FP
B,FP
B,FN
A,FP
C,FP
C,FP
C,FP
C,FN
C,FP
B,FN
A,FN
C,FP
A,FP
A,FP
B,FN
A,FP
B,FN
C,FP
A,FP
B,FN
C,FP
B,FN
C,FP
C,FN
A,FN
A,FN
C,FP
B,FP
B,FN
B,FP
B,FP
B,FN
A,FP
A,FP
C,FP
C,FN
B,FN
B,FP
C,FP
C,FN
A,FN
A,FP
A,FN
B,FN
B,FN
B,FN
A,FP
B,FN
B,FN
